environment_name,status,actual_runtime,detector_model,detector_backend,vlm_enabled,vlm_event_only,vlm_model,vlm_max_new_tokens,processed_frames,frame_load_avg_ms,yolo_inference_avg_ms,sam2_inference_avg_ms,vlm_explanation_avg_ms,queue_wait_avg_ms,end_to_end_p95_ms,bottleneck_stage,note
docker_mock,SUCCESS,runpod_host_python,YOLOv8n,mock,,,,,14,224.4986,0.028,0.6697,,,344.9143,frame_load,Mock mode timings are useful for validating pipeline overhead and stage orchestration. Use real GroundingDINO/SAM2/VLM backends for true model latency benchmarking.
local_docker_mock_vlm,NOT_MEASURED,local_docker_no_runtime,YOLOv8n,mock,True,True,Qwen2.5-VL-7B,64,,,,,,,,,Local Docker runtime unavailable or unresponsive; mock container run not measured.
local_docker_yolov8n_vlm,NOT_MEASURED,local_docker_no_runtime,YOLOv8n,ultralytics,True,True,Qwen2.5-VL-7B,64,,,,,,,,,Local Docker runtime unavailable or unresponsive; real YOLO GPU detector latency was not measured.
local_mock,SUCCESS,runpod_host_python,YOLOv8n,mock,,,,,14,274.1918,0.0262,0.6497,,,432.7488,frame_load,Mock mode timings are useful for validating pipeline overhead and stage orchestration. Use real GroundingDINO/SAM2/VLM backends for true model latency benchmarking.
local_split_service_baseline,SUCCESS,split_service_simulation,YOLOv8n,mock,True,True,Qwen2.5-VL-7B,64,14,228.2561,0.0219,0.612,0.0099,0.0,268.5647,frame_load,"Mock split-service run validates queue wait, worker saturation, backpressure, and event-gated SAM2/VLM path."
local_split_service_event_burst,SUCCESS,split_service_simulation,YOLOv8n,mock,True,True,Qwen2.5-VL-7B,64,14,227.0897,0.0235,0.1505,0.0057,0.2228,271.5557,frame_load,"Mock split-service run validates queue wait, worker saturation, backpressure, and event-gated SAM2/VLM path."
local_split_service_scaled_workers,SUCCESS,split_service_simulation,YOLOv8n,mock,True,True,Qwen2.5-VL-7B,64,14,243.5361,0.0246,0.2388,0.0052,0.1066,322.6862,frame_load,"Mock split-service run validates queue wait, worker saturation, backpressure, and event-gated SAM2/VLM path."
runpod_host_yolov8m_vlm,SUCCESS,runpod_host_python,YOLOv8m,ultralytics,True,True,Qwen2.5-VL-7B,64,14,399.9916,112.9666,0.008,0.0111,,1361.1644,visualization,Timings include active backend inference paths. Forced MEDIUM/HIGH events enabled for bottleneck-load profiling (not accuracy evaluation).
runpod_host_yolov8n_vlm,SUCCESS,runpod_host_python,YOLOv8n,ultralytics,True,True,Qwen2.5-VL-7B,64,14,418.8401,313.4468,0.0119,0.0136,,2542.7849,visualization,Timings include active backend inference paths. Forced MEDIUM/HIGH events enabled for bottleneck-load profiling (not accuracy evaluation).
runpod_mock,SUCCESS,runpod_host_python,YOLOv8n,mock,,,,,14,300.5945,0.0295,0.6381,,,462.329,frame_load,Mock mode timings are useful for validating pipeline overhead and stage orchestration. Use real GroundingDINO/SAM2/VLM backends for true model latency benchmarking.
runpod_yolov8m,SUCCESS,runpod_host_python,YOLOv8m,ultralytics,,,,,14,334.0116,204.0415,0.0002,,,830.1056,frame_load,Timings include active backend inference paths.
runpod_yolov8n,SUCCESS,runpod_host_python,YOLOv8n,ultralytics,,,,,14,298.759,52.7585,0.0002,,,507.582,frame_load,Timings include active backend inference paths.
split_service_mock,SUCCESS,runpod_host_python,YOLOv8n,mock,,,,,14,329.0786,0.024,0.5859,,0.0,438.1712,frame_load,"Mock split-service run validates queue wait, worker saturation, and stage instrumentation."
